,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
8234,34.3914719,-5.2254519,1,0.01075,2325460000.0,0.4492,1.69996,8.36953,24.4171,0,,
8239,34.3996468,-5.2248001,1,0.04448,83399000000.0,1.0944,3.64411,6.66626,11.2214,0,,
8242,34.2697945,-5.2273979,1,0.004578,5867190000.0,0.9734,0.151292,0.198255,0.258905,0,,
8243,34.3907814,-5.2256761,1,0.01029,119651000000.0,2.3531,1.3239,2.84461,4.67064,0,,
8252,34.4102707,-5.226378,1,0.009205,10361200000.0,0.926,0.338646,0.702788,1.23011,0,,
8253,34.3471146,-5.2266307,1,0.005086,6012420000.0,0.9418,0.141121,0.448358,0.912542,0,,
8255,34.3299561,-5.2273712,1,0.000979,6887340000.0,1.8611,0.143022,0.231212,0.217974,0,,
8256,34.2502785,-5.22649,1,0.02018,186272000000.0,2.1745,0.451208,1.0812,2.35947,0,,
8266,34.267395,-5.2261825,1,0.01248,88745700000.0,1.6323,0.568733,1.25077,4.59065,0,,
8268,34.3238792,-5.2257819,1,0.0328,57787500000.0,1.0696,0.791902,1.94712,4.4196,0,,
8269,34.400032,-5.2257466,1,0.007215,50639100000.0,1.6006,1.35235,2.43342,4.50304,0,,
8270,34.2672043,-5.2256637,1,0.0962,85885600000.0,0.8039,2.32541,4.47294,8.75871,0,,
8275,34.3580475,-5.2252865,1,0.01872,120694000000.0,1.5344,0.905375,3.21596,11.0352,0,,
8276,34.410614,-5.2259803,1,0.008072,218179000000.0,2.7799,0.444702,0.853916,0.559866,0,,
